cell,init,arm,n_pos,R,cell_median_R,pooled_descriptive_median_R
libero_goal_t3_vs_t5,2,LOC,4,0.009988968422180888,0.005026453989195665,0.0016333555509041912
libero_goal_t3_vs_t5,2,RAND,4,-0.001870698933614699,0.00011991276996103803,0.00011898447711440095
libero_goal_t3_vs_t5,2,LOC,8,0.010772902644587934,0.010772902644587934,0.004266180166097809
libero_goal_t3_vs_t5,2,RAND,8,0.003704873497364114,0.0007947948070044715,0.0011299765445429199
libero_goal_t3_vs_t5,2,LOC,16,0.012090457309148808,0.012090457309148808,0.005613640435539619
libero_goal_t3_vs_t5,2,RAND,16,-0.0015855659472419619,0.0003307572155688788,0.0007504291551753025
libero_goal_t3_vs_t5,2,LOC,32,0.017268263320614353,0.020423974660664382,0.010097458406011315
libero_goal_t3_vs_t5,2,RAND,32,0.21326542523980632,0.0004942849204361522,0.008974087541989327
libero_goal_t3_vs_t5,2,LOC,64,0.041184731540341184,0.04744518839400754,0.018408005189508227
libero_goal_t3_vs_t5,2,RAND,64,0.008965331007763496,0.008965331007763496,0.011327657846378257
libero_goal_t3_vs_t5,2,LOC,128,0.05281411183036201,0.05281411183036201,0.043358237285080065
libero_goal_t3_vs_t5,2,RAND,128,0.10777908249594617,0.10777908249594617,0.07885590549799881
libero_goal_t3_vs_t5,2,LOC,256,0.2694153641149393,0.12294277268578406,0.08185923987198931
libero_goal_t3_vs_t5,2,RAND,256,0.22091941460349485,0.22091941460349485,0.18020413913340322
libero_goal_t3_vs_t5,2,LOC,512,0.8696135984817326,0.9198764903312444,0.7732458939775065
libero_goal_t3_vs_t5,2,RAND,512,0.8696135984817326,0.9198764903312444,0.7732458939775065
libero_goal_t5_vs_t2,0,LOC,4,0.0007820208969872829,0.0007820208969872829,0.0016333555509041912
libero_goal_t5_vs_t2,0,RAND,4,0.0961552718678869,8.744389153732413e-05,0.00011898447711440095
libero_goal_t5_vs_t2,0,LOC,8,-0.0007678249840877452,-0.0007678249840877452,0.004266180166097809
libero_goal_t5_vs_t2,0,RAND,8,0.0023084480897309686,0.001561274202906427,0.0011299765445429199
libero_goal_t5_vs_t2,0,LOC,16,-0.0018249288855435653,-0.0018249288855435653,0.005613640435539619
libero_goal_t5_vs_t2,0,RAND,16,-0.005021832981074971,0.0033249833425567673,0.0007504291551753025
libero_goal_t5_vs_t2,0,LOC,32,0.009019275451368818,0.007950934697263717,0.010097458406011315
libero_goal_t5_vs_t2,0,RAND,32,-0.012695412847126442,0.0062356722106012225,0.008974087541989327
libero_goal_t5_vs_t2,0,LOC,64,0.01577459434563132,0.01577459434563132,0.018408005189508227
libero_goal_t5_vs_t2,0,RAND,64,0.011423231942729015,0.0016263588665439447,0.011327657846378257
libero_goal_t5_vs_t2,0,LOC,128,0.029407672109392314,0.029407672109392314,0.043358237285080065
